timestamp,open,high,low,close,volume
2023-01-01,149.92,149.99,149.33,149.75,1359791
2023-01-02,148.9,149.43,147.4,147.72,749957
2023-01-03,147.9,149.74,147.45,149.13,4019187
2023-01-04,149.72,149.78,149.66,149.76,1839319
2023-01-05,149.37,150.21,147.94,149.18,3323559
2023-01-06,149.44,151.36,149.01,151.01,2718961
2023-01-07,150.32,153.97,149.96,152.37,3675376
2023-01-08,152.55,155.01,151.63,154.12,3533614
2023-01-09,153.78,154.2,150.88,151.0,2927562
2023-01-10,150.92,155.92,150.48,155.51,4303481
2023-01-11,155.18,155.47,153.82,154.13,2739572
2023-01-12,153.46,154.25,152.78,153.16,4980690
2023-01-13,152.89,154.4,151.62,153.06,2342265
2023-01-14,152.25,152.32,150.94,151.37,769276
2023-01-15,150.94,153.46,150.4,152.23,3139709
2023-01-16,152.75,153.59,152.17,152.93,1698493
2023-01-17,153.27,153.71,152.67,152.85,4093963
2023-01-18,152.57,155.19,150.49,154.78,4774216
2023-01-19,154.81,155.04,150.69,150.96,1842026
2023-01-20,150.5,152.21,150.27,151.66,4426287
2023-01-21,151.44,151.5,145.71,145.78,1460929
2023-01-22,145.29,145.38,143.9,144.72,1435767
2023-01-23,144.97,145.9,144.43,144.45,2709467
2023-01-24,144.32,148.42,144.31,148.14,3003536
2023-01-25,147.7,149.83,147.16,149.65,1855171
2023-01-26,149.46,149.48,145.95,145.95,3219218
2023-01-27,145.97,147.08,143.68,144.96,3079615
2023-01-28,145.28,145.49,145.04,145.14,4576783
2023-01-29,144.04,147.94,143.98,147.64,4486957
2023-01-30,147.55,149.77,147.41,148.97,2276692
2023-01-31,148.65,152.79,147.78,152.43,3846989
2023-02-01,152.41,156.52,152.13,155.82,1515056
2023-02-02,155.99,156.78,155.81,155.91,2347317
2023-02-03,155.94,159.87,155.86,159.65,763510
2023-02-04,159.51,160.38,158.56,160.31,2297148
2023-02-05,160.12,160.74,156.1,156.65,2538408
2023-02-06,155.82,157.75,155.56,157.65,4115919
2023-02-07,158.04,158.18,156.09,156.25,1325588
2023-02-08,156.53,159.94,156.24,159.84,2107174
2023-02-09,160.33,161.34,160.09,160.88,2595528
2023-02-10,160.74,162.08,159.56,161.63,1321317
2023-02-11,162.21,171.39,160.74,170.47,2482894
2023-02-12,170.98,172.2,170.31,172.04,991869
2023-02-13,172.07,173.43,171.07,172.21,4316886
2023-02-14,172.99,173.14,170.23,171.42,4582495
2023-02-15,171.78,173.61,171.6,172.72,1011349
2023-02-16,172.54,173.51,172.13,172.8,4955408
2023-02-17,173.9,176.91,173.68,176.51,1070097
2023-02-18,176.16,177.24,174.71,175.72,2565404
2023-02-19,175.65,176.54,174.64,175.15,4885419
2023-02-20,175.52,175.81,173.88,174.41,2728136
