timestamp,open,high,low,close,volume
2021-01-01,100.46,100.77,99.27,99.98,2057967
2021-01-02,99.62,100.01,98.61,99.03,2071808
2021-01-03,99.3,100.19,98.98,100.11,4120358
2021-01-04,100.44,102.75,100.42,101.47,1730695
2021-01-05,101.75,103.66,101.55,103.41,4283814
2021-01-06,102.65,103.48,102.35,103.39,2463167
2021-01-07,103.43,103.83,101.23,101.4,3555153
2021-01-08,101.12,103.02,100.81,102.81,2705279
2021-01-09,102.44,102.44,102.1,102.32,4219508
2021-01-10,102.26,102.42,101.06,101.4,3613118
2021-01-11,101.5,101.67,99.75,99.88,4617608
2021-01-12,99.76,100.23,98.09,98.49,1599758
2021-01-13,98.68,100.49,98.57,100.11,4059415
2021-01-14,100.07,100.98,99.51,100.52,4233913
2021-01-15,100.38,101.07,99.72,100.14,3440973
2021-01-16,100.7,101.35,100.25,100.9,1649302
2021-01-17,100.63,102.56,100.16,102.52,857046
2021-01-18,102.32,102.74,100.66,101.16,3363316
2021-01-19,101.34,101.69,100.84,101.57,2392112
2021-01-20,101.85,102.9,101.43,102.29,825708
2021-01-21,102.19,104.94,101.79,104.63,1561028
2021-01-22,104.63,105.46,104.32,105.35,1149507
2021-01-23,105.21,106.93,105.12,106.86,3181707
2021-01-24,107.18,107.69,106.08,106.18,4478065
2021-01-25,106.39,106.53,106.0,106.41,1817665
2021-01-26,106.16,106.75,105.4,106.42,2668853
2021-01-27,106.53,106.61,105.11,105.67,4089388
2021-01-28,105.95,106.51,105.85,106.09,1227770
2021-01-29,106.13,107.08,105.84,106.53,3070098
2021-01-30,106.87,107.51,106.74,107.15,2927961
2021-01-31,107.01,107.09,104.01,104.12,3591688
2021-02-01,103.92,104.73,103.53,104.59,779967
2021-02-02,104.71,105.26,104.31,104.34,4142876
2021-02-03,104.44,106.45,103.89,105.92,3207121
2021-02-04,106.49,107.39,105.57,107.33,2581395
2021-02-05,107.08,109.94,106.55,109.08,1090283
2021-02-06,109.57,109.73,107.17,107.84,2502533
