timestamp,open,high,low,close,volume
2021-01-01,100.15,100.24,99.64,99.77,4995304
2021-01-02,99.99,101.4,99.84,101.16,1220977
2021-01-03,101.21,101.57,100.59,100.82,1538526
2021-01-04,100.68,102.65,100.61,102.52,3827597
2021-01-05,102.59,103.64,102.51,103.43,4015993
2021-01-06,103.55,104.17,102.84,103.9,2016042
2021-01-07,104.14,105.35,103.97,105.28,1026712
2021-01-08,105.11,105.63,103.74,103.75,3135257
2021-01-09,103.9,104.1,100.85,101.08,2007992
2021-01-10,100.86,101.32,100.64,100.88,3381282
2021-01-11,100.63,101.03,100.6,100.83,4007468
2021-01-12,101.07,101.86,100.9,101.47,1151127
2021-01-13,101.07,101.95,100.82,101.7,3437509
2021-01-14,101.48,102.23,100.24,100.45,2764414
2021-01-15,100.52,101.1,98.54,98.77,4238305
2021-01-16,99.06,99.1,98.53,98.6,4372980
2021-01-17,98.92,99.2,97.67,97.68,2911153
2021-01-18,97.84,98.99,97.34,98.37,1175964
2021-01-19,98.63,99.09,98.42,99.05,4111477
2021-01-20,98.87,100.08,98.68,99.76,3691372
2021-01-21,99.72,100.63,99.46,100.5,2457364
2021-01-22,100.54,102.99,100.24,102.85,1722022
2021-01-23,102.99,103.92,101.49,101.9,4824255
2021-01-24,101.76,103.71,101.31,103.68,3791512
2021-01-25,103.87,104.29,102.71,102.76,2098948
2021-01-26,102.85,103.81,102.53,103.61,941036
2021-01-27,103.85,105.98,103.62,104.98,713916
2021-01-28,105.07,106.27,104.65,105.84,3414114
2021-01-29,105.62,105.99,104.45,104.77,4409002
2021-01-30,104.8,105.23,103.24,103.78,2720941
2021-01-31,103.84,104.12,101.94,101.97,4931344
2021-02-01,102.33,102.92,100.49,100.84,3000557
2021-02-02,100.76,103.42,100.46,103.31,3576100
2021-02-03,103.15,104.46,102.64,104.37,4716928
2021-02-04,104.57,105.03,102.91,104.03,2137003
2021-02-05,103.49,104.93,103.19,104.91,4842268
2021-02-06,104.93,105.67,102.91,102.96,4461436
2021-02-07,103.43,103.86,102.81,102.93,3431983
2021-02-08,102.85,104.2,102.56,104.14,2150090
2021-02-09,104.45,105.02,103.42,103.47,516008
2021-02-10,103.53,103.58,101.6,101.76,1505824
2021-02-11,101.47,103.64,101.01,103.64,1997548
2021-02-12,103.82,104.68,101.6,102.11,3820533
2021-02-13,102.23,102.44,100.1,100.22,1565675
2021-02-14,100.29,102.46,100.16,101.88,4479194
2021-02-15,101.64,101.85,101.28,101.34,619478
2021-02-16,100.87,102.56,100.47,102.02,1668119
2021-02-17,102.27,102.4,99.59,99.83,2612543
2021-02-18,100.17,100.27,99.82,100.24,4014932
2021-02-19,100.15,100.59,99.3,100.54,4834904
2021-02-20,100.86,101.36,98.24,98.25,4891491
2021-02-21,98.21,98.3,95.42,95.94,1756634
2021-02-22,96.23,96.71,95.75,96.63,3234536
2021-02-23,96.31,96.97,96.05,96.12,976662
2021-02-24,96.35,96.41,95.76,96.21,733754
2021-02-25,95.57,96.95,95.39,96.45,4740887
2021-02-26,96.33,96.41,95.47,95.92,4510059
2021-02-27,95.91,96.69,95.02,95.13,2677617
2021-02-28,94.85,97.46,94.45,97.34,3995004
2021-03-01,97.56,98.59,97.43,98.33,1113381
2021-03-02,98.57,99.13,98.1,98.64,3571768
2021-03-03,99.12,100.53,99.06,100.25,1289581
2021-03-04,100.46,101.22,99.16,99.21,1854475
2021-03-05,98.29,98.63,98.03,98.26,3491501
2021-03-06,98.69,99.19,97.49,97.55,4194830
2021-03-07,97.27,97.61,97.23,97.29,1039310
2021-03-08,97.72,99.46,96.93,99.35,1205157
2021-03-09,99.43,99.49,99.09,99.4,1586790
2021-03-10,98.87,100.91,98.02,100.47,3905337
2021-03-11,101.02,102.72,100.75,102.15,1250463
2021-03-12,102.69,103.04,101.04,101.83,2755893
